Year,StateAbbr,State,Depression rate
2018,AL,Alabama,24.0
2018,AK,Alaska,20.2
2018,AZ,Arizona,16.7
2018,AR,Arkansas,22.5
2018,CA,California,15.4
2018,CO,Colorado,15.7
2018,CT,Connecticut,15.5
2018,DE,Delaware,16.9
2018,DC,District of Columbia,19.4
2018,FL,Florida,15.6
2018,GA,Georgia,17.1
2018,HI,Hawaii,12.6
2018,ID,Idaho,19.5
2018,IL,Illinois,17.7
2018,IN,Indiana,19.7
2018,IA,Iowa,16.4
2018,KS,Kansas,20.7
2018,KY,Kentucky,24.0
2018,LA,Louisiana,23.2
2018,ME,Maine,22.8
2018,MD,Maryland,15.4
2018,MA,Massachusetts,18.1
2018,MI,Michigan,23.2
2018,MN,Minnesota,17.6
2018,MS,Mississippi,21.7
2018,MO,Missouri,22.2
2018,MT,Montana,21.9
2018,NE,Nebraska,17.3
2018,NV,Nevada,15.7
2018,NH,New Hampshire,20.7
2018,NJ,New Jersey,11.8
2018,NM,New Mexico,17.2
2018,NY,New York,15.1
2018,NC,North Carolina,19.8
2018,ND,North Dakota,19.6
2018,OH,Ohio,20.0
2018,OK,Oklahoma,23.3
2018,OR,Oregon,26.2
2018,PA,Pennsylvania,21.6
2018,PR,Puerto Rico,19.3
2018,RI,Rhode Island,20.8
2018,SC,South Carolina,19.9
2018,SD,South Dakota,16.3
2018,TN,Tennessee,25.2
2018,TX,Texas,16.5
2018,UT,Utah,24.3
2018,VT,Vermont,21.2
2018,VA,Virginia,16.6
2018,WA,Washington,23.6
2018,WV,West Virginia,26.6
2018,WI,Wisconsin,19.6
2018,WY,Wyoming,17.9
2019,AL,Alabama,24.1
2019,AK,Alaska,17.4
2019,AZ,Arizona,16.8
2019,AR,Arkansas,25.0
2019,CA,California,14.6
2019,CO,Colorado,17.2
2019,CT,Connecticut,14.4
2019,DE,Delaware,18.8
2019,DC,District of Columbia,20.4
2019,FL,Florida,17.7
2019,GA,Georgia,17.0
2019,HI,Hawaii,12.8
2019,ID,Idaho,22.7
2019,IL,Illinois,18.3
2019,IN,Indiana,21.0
2019,IA,Iowa,16.2
2019,KS,Kansas,19.9
2019,KY,Kentucky,25.7
2019,LA,Louisiana,23.9
2019,ME,Maine,23.5
2019,MD,Maryland,15.8
2019,MA,Massachusetts,18.5
2019,MI,Michigan,21.4
2019,MN,Minnesota,20.2
2019,MS,Mississippi,20.6
2019,MO,Missouri,22.8
2019,MT,Montana,24.1
2019,NE,Nebraska,16.2
2019,NV,Nevada,17.7
2019,NH,New Hampshire,20.0
2019,NJ,New Jersey,
2019,NM,New Mexico,17.4
2019,NY,New York,15.3
2019,NC,North Carolina,21.6
2019,ND,North Dakota,17.9
2019,OH,Ohio,20.3
2019,OK,Oklahoma,23.0
2019,OR,Oregon,24.6
2019,PA,Pennsylvania,19.6
2019,PR,Puerto Rico,17.9
2019,RI,Rhode Island,19.6
2019,SC,South Carolina,20.0
2019,SD,South Dakota,17.3
2019,TN,Tennessee,25.0
2019,TX,Texas,17.2
2019,UT,Utah,23.1
2019,VT,Vermont,22.1
2019,VA,Virginia,17.0
2019,WA,Washington,24.2
2019,WV,West Virginia,28.8
2019,WI,Wisconsin,20.5
2019,WY,Wyoming,19.2
2020,AL,Alabama,23.5
2020,AK,Alaska,15.9
2020,AZ,Arizona,17.4
2020,AR,Arkansas,23.5
2020,CA,California,14.1
2020,CO,Colorado,18.4
2020,CT,Connecticut,17.7
2020,DE,Delaware,15.6
2020,DC,District of Columbia,19.8
2020,FL,Florida,14.7
2020,GA,Georgia,17.2
2020,HI,Hawaii,12.7
2020,ID,Idaho,18.9
2020,IL,Illinois,14.7
2020,IN,Indiana,21.9
2020,IA,Iowa,17.4
2020,KS,Kansas,19.2
2020,KY,Kentucky,24.2
2020,LA,Louisiana,23.5
2020,ME,Maine,22.1
2020,MD,Maryland,15.7
2020,MA,Massachusetts,17.9
2020,MI,Michigan,19.6
2020,MN,Minnesota,19.8
2020,MS,Mississippi,20.9
2020,MO,Missouri,22.8
2020,MT,Montana,22.6
2020,NE,Nebraska,16.8
2020,NV,Nevada,17.6
2020,NH,New Hampshire,21.4
2020,NJ,New Jersey,15.2
2020,NM,New Mexico,17.6
2020,NY,New York,16.8
2020,NC,North Carolina,20.8
2020,ND,North Dakota,19.2
2020,OH,Ohio,22.0
2020,OK,Oklahoma,22.9
2020,OR,Oregon,21.2
2020,PA,Pennsylvania,20.2
2020,PR,Puerto Rico,
2020,RI,Rhode Island,21.1
2020,SC,South Carolina,21.4
2020,SD,South Dakota,16.1
2020,TN,Tennessee,24.1
2020,TX,Texas,17.7
2020,UT,Utah,23.1
2020,VT,Vermont,23.3
2020,VA,Virginia,17.2
2020,WA,Washington,23.4
2020,WV,West Virginia,26.4
2020,WI,Wisconsin,19.8
2020,WY,Wyoming,18.3
